Symbol,Company Name,Industry,Series,ISIN Code
SUZLON,Suzlon Energy Ltd.,Capital Goods,EQ,INE040H01021
SWANENERGY,Swan Energy Ltd.,Chemicals,EQ,INE665A01038
SWSOLAR,Sterling and Wilson Renewable Energy Ltd.,Construction,EQ,INE00M201021
SYNGENE,Syngene International Ltd.,Healthcare,EQ,INE398R01022
TANLA,Tanla Platforms Ltd.,Information Technology,EQ,INE483C01032
TARIL,Transformers And Rectifiers (India) Ltd.,Capital Goods,EQ,INE763I01026
TATACHEM,Tata Chemicals Ltd.,Chemicals,EQ,INE092A01019
TATACOMM,Tata Communications Ltd.,Telecommunication,EQ,INE151A01013
TATACONSUM,Tata Consumer Products Ltd.,Fast Moving Consumer Goods,EQ,INE192A01025
TATAELXSI,Tata Elxsi Ltd.,Information Technology,EQ,INE670A01012
TATAINVEST,Tata Investment Corporation Ltd.,Financial Services,EQ,INE672A01018
TATAMOTORS,Tata Motors Ltd.,Automobile and Auto Components,EQ,INE155A01022
TATAPOWER,Tata Power Co. Ltd.,Power,EQ,INE245A01021
TATASTEEL,Tata Steel Ltd.,Metals & Mining,EQ,INE081A01020
TCS,Tata Consultancy Services Ltd.,Information Technology,EQ,INE467B01029
TECHM,Tech Mahindra Ltd.,Information Technology,EQ,INE669C01036
TECHNOE,Techno Electric & Engineering Company Ltd.,Construction,EQ,INE285K01026
TEJASNET,Tejas Networks Ltd.,Telecommunication,EQ,INE010J01012
THERMAX,Thermax Ltd.,Capital Goods,EQ,INE152A01029
TIINDIA,Tube Investments of India Ltd.,Automobile and Auto Components,EQ,INE974X01010
TIMKEN,Timken India Ltd.,Capital Goods,EQ,INE325A01013
TITAGARH,Titagarh Rail Systems Ltd.,Capital Goods,EQ,INE615H01020
TITAN,Titan Company Ltd.,Consumer Durables,EQ,INE280A01028
TORNTPHARM,Torrent Pharmaceuticals Ltd.,Healthcare,EQ,INE685A01028
TORNTPOWER,Torrent Power Ltd.,Power,EQ,INE813H01021
TRENT,Trent Ltd.,Consumer Services,EQ,INE849A01020
TRIDENT,Trident Ltd.,Textiles,EQ,INE064C01022
TRITURBINE,Triveni Turbine Ltd.,Capital Goods,EQ,INE152M01016
TRIVENI,Triveni Engineering & Industries Ltd.,Fast Moving Consumer Goods,EQ,INE256C01024
TTML,Tata Teleservices (Maharashtra) Ltd.,Telecommunication,EQ,INE517B01013
TVSMOTOR,TVS Motor Company Ltd.,Automobile and Auto Components,EQ,INE494B01023
UBL,United Breweries Ltd.,Fast Moving Consumer Goods,EQ,INE686F01025
UCOBANK,UCO Bank,Financial Services,EQ,INE691A01018
ULTRACEMCO,UltraTech Cement Ltd.,Construction Materials,EQ,INE481G01011
UNIONBANK,Union Bank of India,Financial Services,EQ,INE692A01016
UNOMINDA,UNO Minda Ltd.,Automobile and Auto Components,EQ,INE405E01023
UPL,UPL Ltd.,Chemicals,EQ,INE628A01036
USHAMART,Usha Martin Ltd.,Capital Goods,EQ,INE228A01035
UTIAMC,UTI Asset Management Company Ltd.,Financial Services,EQ,INE094J01016
VBL,Varun Beverages Ltd.,Fast Moving Consumer Goods,EQ,INE200M01039
VEDL,Vedanta Ltd.,Metals & Mining,EQ,INE205A01025
VGUARD,V-Guard Industries Ltd.,Consumer Durables,EQ,INE951I01027
VOLTAS,Voltas Ltd.,Consumer Durables,EQ,INE226A01021
VTL,Vardhman Textiles Ltd.,Textiles,EQ,INE825A01020
WELCORP,Welspun Corp Ltd.,Capital Goods,EQ,INE191B01025
WELSPUNLIV,Welspun Living Ltd.,Textiles,EQ,INE192B01031
WESTLIFE,Westlife Foodworld Ltd.,Consumer Services,EQ,INE274F01020
WHIRLPOOL,Whirlpool of India Ltd.,Consumer Durables,EQ,INE716A01013
WIPRO,Wipro Ltd.,Information Technology,EQ,INE075A01022
WOCKPHARMA,Wockhardt Ltd.,Healthcare,EQ,INE049B01025
YESBANK,Yes Bank Ltd.,Financial Services,EQ,INE528G01035
ZEEL,Zee Entertainment Enterprises Ltd.,Media Entertainment & Publication,EQ,INE256A01028
ZENSARTECH,Zensar Technolgies Ltd.,Information Technology,EQ,INE520A01027
ZENTEC,Zen Technologies Ltd.,Capital Goods,EQ,INE251B01027
ZFCVINDIA,ZF Commercial Vehicle Control Systems India Ltd.,Automobile and Auto Components,EQ,INE342J01019
ZYDUSLIFE,Zydus Lifesciences Ltd.,Healthcare,EQ,INE010B01027
